file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00336_0178_1257534_to_1267585,མཆོང་རྒྱག་ཅིག་བརྒྱབ་སྟེ་བྲོས་པ་ན། རྗེས་འདེད་དུ་ཡོང་མཁན་མི་དེ་ནི་རྒད་པོ་དེ་མ་མཐོང་བར་རྒད་པོའི་ལུས་ལ་རྐང་པ་ཐོགས་ནས་བརྐྱང་ཕྱག་འཚལ་བ་དང་འདྲ་བར་ས་ཐོག་ལ་ཁ་སྦུག་ཏུ་འགྱེལ།  ,mchong rgyag cig brgyab ste bros pa na/_rjes 'ded du yong mkhan mi de ni rgad po de ma mthong bar rgad po'i lus la rkang pa thogs nas brkyang phyag 'tshal ba dang 'dra bar sa thog la kha sbug tu 'gyel/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00336_0178_1257534_to_1267585.wav,STT_AB,2,165,10.051,wav16k/STT_AB00336_0178_1257534_to_1267585.wav,མཆོང་རྒྱག་ཅིག་བརྒྱབ་སྟེ་བྲོས་པ་ན། རྗེས་འདེད་དུ་ཡོང་མཁན་མི་དེ་ནི་རྒྱལ་པོ་དེ་མ་མཐོང་བར་རྒྱལ་པོའི་ལུས་ལ་རྐང་པ་ཐོགས་ནས་རྐྱང་ཕྱག་འཚལ་བ་དང་འདྲ་བར་ས་ཐོག་ཏུ་འགྱེལ།
STT_AB00472_0015_67841_to_68643,བུ་དཔལ་འབྱོར་ལ་ ,bu dpal 'byor la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00472_0015_67841_to_68643.wav,STT_AB,2,16,0.802,wav16k/STT_AB00472_0015_67841_to_68643.wav,བུ་དཔལ་འབྱོར་ལ་
STT_AB00546_0013_65008_to_74684,གཞན་དག་དེ་ལས་ཀྱང་སྟོབས་ཤགས་ཆེ་བར་སྨོས་མ་དགོས། ཞེས་ཟེར་ནས་བོད་ཀྱི་རྟ་དམག་ལ་གཡུལ་འཁྲུག་མ་བྱས་པར། བོད་ཀྱི་བཙན་པོར་མགོ་བཏགས་བྱ་རྒྱུ་ཐག་གཅོད་བྱས་པས།  ,gzhan dag de las kyang stobs shags che bar smos ma dgos/_zhes zer nas bod kyi rta dmag la g.yul 'khrug ma byas par/_bod kyi btsan por mgo btags bya rgyu thag gcod byas pas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00546_0013_65008_to_74684.wav,STT_AB,2,145,9.676,wav16k/STT_AB00546_0013_65008_to_74684.wav,གཞན་དག་དེ་ལས་ཀྱང་སྟོབས་ཤགས་ཆེ་བར་སྨྲོས་མ་དགོས། ཞེས་ཟེར་ནས། བོད་ཀྱི་རྟ་དམག་ལ་གཡུལ་འཕྲུག་མ་བྱས་པར། བོད་ཀྱི་བཙན་པོར་གོ་ཐག་བྱ་རྒྱུ་ཐག་གཅོད་བྱས་པས།
STT_AB00546_0042_234274_to_235656,བཙན་པོའི་བཀའ་ལུང་ལེན་པས་ ,btsan po'i bka' lung len pas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00546_0042_234274_to_235656.wav,STT_AB,2,25,1.382,wav16k/STT_AB00546_0042_234274_to_235656.wav,བཙན་པོའི་བཀའ་ལུང་ལེན་པས་
STT_AB00546_0041_231851_to_233831,རང་འགུལ་གྱིས་ཕྱག་སྐྱེས་འབུལ་ཞིང་།  ,rang 'gul gyis phyag skyes 'bul zhing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00546_0041_231851_to_233831.wav,STT_AB,2,35,1.98,wav16k/STT_AB00546_0041_231851_to_233831.wav,རང་འགུལ་གྱི་ཕྱག་སྐྱེས་འབུལ་ཞིང་།
STT_AB00546_0043_235947_to_237192,རྒྱལ་ཕྲན་དུ་མ་བྱུང་ཡོད།  ,rgyal phran du ma byung yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00546_0043_235947_to_237192.wav,STT_AB,2,25,1.245,wav16k/STT_AB00546_0043_235947_to_237192.wav,རྒྱལ་ཕྲན་དུ་མ་བྱུང་ཡོད།
STT_AB00525_0109_589513_to_598165,བདེ་སྐྱིད་གླིང་གི་བུ་མོ་ཚོ་ལ་ཡི་གེ་དེ་ལོ་གསར་བར་འབྱོར་ཐུབ་པའི་རེ་བ་ཡོད་ཟེར་བཞིན། ཁོང་གཉིས་ཁྱིམ་ལ་ལོག ,bde skyid gling gi bu mo tsho la yi ge de lo gsar bar 'byor thub pa'i re ba yod zer bzhin/_khong gnyis khyim la log_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00525_0109_589513_to_598165.wav,STT_AB,2,101,8.652,wav16k/STT_AB00525_0109_589513_to_598165.wav,བདེ་སྐྱིད་གླིང་གི་བུ་མོ་ཚོ་ལ་ཡི་གེ་དེ་ལོ་གསར་བར་འབྱོར་ཐུབ་པའི་རེ་བ་ཡོད། ཟེར་བཞིན། ཁོང་གཉིས་ཁྱིམ་ལ་ལོག
STT_AB00525_0110_599496_to_604718,འདབ་ཆགས་ཁྲི་སྟོང་མང་པོའི་གཤོག་སྒྲོ་ཐོར་བ་ལྟར། ཁ་བ་རྒྱུན་མ་ཆད་པར་ ,'dab chags khri stong mang po'i gshog sgro thor ba ltar/_kha ba rgyun ma chad par _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00525_0110_599496_to_604718.wav,STT_AB,2,65,5.222,wav16k/STT_AB00525_0110_599496_to_604718.wav,འདབ་ཆགས་ཁྲི་སྟོང་མང་པོའི་གཤོག་སྒྲོ་འཐོར་བ་ལྟར། ཁ་བ་རྒྱུན་མ་ཆད་པར་
STT_AB00525_0112_608046_to_610622,ཁ་བ་སྟུག་པོ་འབབ་པས། འགྲོ་ལམ་ཡང་ ,kha ba stug po 'bab pas/_'gro lam yang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00525_0112_608046_to_610622.wav,STT_AB,2,32,2.576,wav16k/STT_AB00525_0112_608046_to_610622.wav,ཁ་བ་སྟུག་པོ་འབབས་པས་འགྲོ་ལམ་ཡང་
STT_AB00525_0120_637346_to_641766,ཁྱི་ཕྲུག་གིས་གང་སར་བལྟས་ཀྱང་། གང་ཡང་མ་མཐོང་བས་ ,khyi phrug gis gang sar bltas kyang /_gang yang ma mthong bas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00525_0120_637346_to_641766.wav,STT_AB,2,47,4.42,wav16k/STT_AB00525_0120_637346_to_641766.wav,ཁྱི་ཕྲུག་གིས་གང་སར་བལྟས་ཀྱང་གང་ཡང་མ་མཐོང་བས།
